리뷰 원본,AI 분석 결과
아이폰 16 프로 데저트 티타늄 색상 실물 깡패네요. 베젤도 얇아져서 몰입감이 장난 아닙니다!,"**감정:** 긍정

**이유:** 리뷰에서 ""실물 깡패"", ""몰입감이 장난 아닙니다""와 같은 표현을 사용하여 제품의 디자인과 경험에 대한 만족감을 강하게 드러내고 있기 때문입니다."
새로 생긴 파스타집 갔는데 면이 다 불어서 나오고 소스도 너무 짜요. 다시는 안 갈 것 같네요.,"**감정:** 부정

**이유:** 리뷰에서 파스타 면이 불고 소스가 짜다는 부정적인 경험을 명확하게 언급하며, 다시 방문하지 않겠다는 의사를 표현하고 있기 때문입니다."
이번 넷플릭스 신작 영화는 초반엔 흥미진진했는데 결말이 너무 허무해서 실망했습니다.,"**감정:** 부정

**이유:** 영화 초반의 흥미진진함에도 불구하고, 결말이 허무하여 실망했다는 내용이므로 부정적인 감정으로 분류됩니다."
Zustand 라이브러리 덕분에 상태 관리 로직이 반으로 줄었어요. 개발 생산성 최고입니다.,"**감정:** 긍정

**이유:** 리뷰어는 Zustand 라이브러리를 사용하여 상태 관리 로직이 크게 줄었고, 개발 생산성이 향상되었다고 언급하며 매우 만족하고 있습니다."
배달 앱 업데이트하고 나서 자꾸 결제 오류가 뜨네요. 배고픈데 주문도 못 하고 너무 답답해요.,"**감정:** 부정

**이유:** 리뷰 작성자는 배달 앱 업데이트 이후 결제 오류로 인해 음식을 주문하지 못하는 상황에 대해 '답답하다'고 표현하며 불만을 나타내고 있습니다."
새로 산 노이즈 캔슬링 헤드폰 성능이 미쳤어요. 지하철 소음이 하나도 안 들려서 신세계입니다.,"**감정:** 긍정

**이유:** 리뷰어는 헤드폰의 노이즈 캔슬링 성능에 대해 ""미쳤어요"", ""신세계""와 같은 매우 긍정적인 표현을 사용하여 만족감을 드러내고 있습니다."
이 게임은 그래픽만 화려하고 스토리는 엉망진창이네요. 돈 아까우니까 절대 사지 마세요.,"**감정:** 부정

**이유:** 리뷰에서 ""스토리는 엉망진창"", ""돈 아까우니까 절대 사지 마세요""와 같은 부정적인 표현을 사용하여 게임에 대한 불만족을 명확하게 드러내고 있습니다."
파이썬 기초 강의 설명이 너무 친절해서 코딩 포기했던 저도 드디어 입문했습니다. 강추!,"**감정:** 긍정

**이유:** 리뷰 작성자는 파이썬 기초 강의의 친절한 설명 덕분에 코딩에 대한 어려움을 극복하고 입문할 수 있었다고 말하며, 강의를 강력하게 추천하고 있습니다. 이는 강의에 대한 매우 긍정적인 경험을 나타냅니다."
노트북 수리 맡겼는데 수리비가 새로 사는 가격만큼 나왔어요. 서비스 센터 대응도 별로네요.,"**감정:** 부정

**이유:** 노트북 수리비가 새로 사는 가격만큼 나왔다는 점과 서비스 센터의 불만족스러운 대응 때문에 부정적인 감정을 표현하고 있습니다."
이번에 출시된 스마트워치 배터리가 너무 빨리 닳아요. 하루도 못 가는데 이게 정상인가요?,"**감정:** 부정

**이유:** 리뷰는 스마트워치의 배터리 수명에 대한 불만을 직접적으로 표현하고 있으며, ""너무 빨리 닳아요"", ""하루도 못 가는데 이게 정상인가요?""와 같은 표현은 제품에 대한 부정적인 경험을 명확히 나타냅니다."
